Stock,Open (Buy),nr. shares,price/share,buy value,Date,Close (Sell),nr. shares.1,price/share.1,sell value,Date.1,col1,buy_date_new
PTON,B,0.01,117,1.17,07.10.2020,S,0.01,12,0.1,08.06.2022,,10/7/2020
PTON,B,0.9,99.14,89.22,23.09.2020,S,0.9,109.86,98.86,06.10.2020,,9/23/2020
PTON,B,0.09,99.14,8.92,23.09.2020,S,0.09,111.67,10.04,06.10.2020,,9/23/2020
PTON,B,0.01,99.14,2.19,23.09.2020,S,0.01,114,1.13,06.10.2020,,9/23/2020
PTON,B,0.25,116.12,29.03,08.10.2020,S,0.25,129.6,32.39,14.10.2020,,10/8/2020
PTON,B,1,131.21,131.21,13.10.2020,S,1,132.81,132.8,15.10.2020,,10/13/2020
PTON,B,2.4,101.36,243.26,09.11.2020,S,2.4,104.33,250.37,10.11.2020,,11/9/2020
PTON,B,0.75,111.35,83.51,20.11.2020,S,0.75,105.45,79.08,24.11.2020,,11/20/2020
PTON,B,2,87.34,174.68,30.09.2021,S,2,89.35,178.69,02.11.2021,,9/30/2021
PWR,B,0.05,67,3.35,02.11.2020,S,0.05,95.6,4.77,21.04.2021,,11/2/2020
REGI,B,0.1,59.4,5.94,07.10.2020,S,0.1,62,6.19,29.07.2021,,10/7/2020
REGI,B,1,60.37,60.37,08.10.2020,S,1,60.72,60.71,21.10.2020,,10/8/2020
REGI,B,1.9,49.23,93.54,23.09.2020,S,1.9,55.97,105.13,02.10.2020,,9/23/2020
REGI,B,0.1,49.23,6.11,23.09.2020,S,0.1,57.22,5.72,06.10.2020,,9/23/2020
REGI,B,0.9,56.96,51.26,05.10.2020,S,0.9,57.22,51.49,06.10.2020,,10/5/2020
REGI,B,0.01,57.05,0.57,05.10.2020,S,0.01,59,0.58,06.10.2020,,10/5/2020
REGI,B,0.19,57.05,10.84,05.10.2020,S,0.19,57.22,10.87,06.10.2020,,10/5/2020
REGI,B,1.33,68.97,91.73,08.06.2021,S,1.33,62.41,83,29.07.2021,,6/8/2021
REGI,B,2.4,51.47,123.53,22.11.2021,S,2.4,61.39,147.33,28.02.2022,,11/22/2021
RKT,B,2.6,37.6,97.76,02.03.2021,S,2.6,24.53,63.78,17.03.2021,,3/2/2021
RKT,B,2,34.75,69.5,03.03.2021,S,2,25.47,50.93,09.03.2021,,3/3/2021
SEDG,B,0.01,296,2.96,08.10.2020,S,0.01,273,2.72,16.09.2021,,10/8/2020
SEDG,B,0.3,259.8,77.94,20.11.2020,S,0.3,270.63,81.18,01.12.2020,,11/20/2020
SPWR,B,0.1,17.7,1.77,08.10.2020,S,0.1,21.5,2.14,10.05.2021,,10/8/2020
SPWR,B,10,16.17,161.7,12.10.2020,S,10,16.65,166.5,14.10.2020,,10/12/2020
SPWR,B,2,21.75,43.5,20.11.2020,S,2,21.65,43.29,02.12.2020,,11/20/2020
SPWR,B,0.49,47.76,23.4,01.02.2021,,,,,,,2/1/2021
SPWR,B,1.8,43.75,78.75,02.02.2021,S,1.8,49.51,89.11,12.02.2021,,2/2/2021
SPWR,B,3,30.5,91.5,23.02.2021,S,3,37.01,104.94,25.02.2021,,2/23/2021
SPWR,B,5,29.39,146.95,08.04.2021,S,5,29.44,147.2,06.07.2021,,4/8/2021
SPWR,B,6,16.49,98.93,23.01.2023,,,,,,,1/23/2023
SQ,B,0.01,181,1.81,07.10.2020,S,0.01,242,2.41,13.10.2021,,10/7/2020
SQ,B,0.09,164.88,14.83,31.08.2020,S,0.09,179.22,16.12,06.10.2020,,8/31/2020
SQ,B,0.01,164.88,1.65,31.08.2020,S,0.01,181,1.8,06.10.2020,,8/31/2020
SQ,B,0.86450753,152.14,132.74,16.09.2020,S,0.86450753,179.17,154.88,05.10.2020,,9/16/2020
SQ,B,0.03549247,164.88,5.86,31.08.2020,S,0.03549247,179.17,6.36,05.10.2020,,8/31/2020
SQ,B,0.05,190.4,9.52,13.10.2020,S,0.05,183.45,9.17,08.11.2020,,10/13/2020
SQ,B,0.55,183,100.65,15.10.2020,S,0.55,183.45,100.89,08.11.2020,,10/15/2020
T,B,2,25.16,50.32,04.11.2021,S,2,23.06,46.12,07.12.2021,,11/4/2021
T,B,3,24.78,74.34,04.11.2021,S,3,23.06,69.18,07.12.2021,,11/4/2021
TSLA,B,0.01,594,5.94,03.12.2020,S,0.01,809,8.08,13.10.2021,,12/3/2020
TSLA,B,0.015,297.33,4.46,05.08.2020,S,0.015,433.00,6.48,05.11.2020,,8/5/2020
TSLA,B,1,486.92,487.53,01.09.2020,S,1,434.10,434.08,08.10.2020,,9/1/2020
TSLA,B,1,486.92,487.54,01.09.2020,S,1,439.06,439.04,13.10.2020,,9/1/2020
TSLA,B,0.4,389.48,156.98,23.09.2020,S,0.4,437.05,173.61,01.10.2020,,9/23/2020
TSLA,B,0.1,420.20,42.02,06.10.2020,S,0.1,435.30,42.52,07.10.2020,,10/6/2020
TSLA,B,0.4,389.80,155.92,30.10.2020,S,0.4,413.00,165.19,03.11.2020,,10/30/2020
TSLA,B,0.25,432.72,108.18,05.10.2020,S,0.25,560.31,140.07,02.12.2020,,10/5/2020
TSLA,B,0.14,463.20,64.85,14.10.2020,S,0.14,560.31,78.44,02.12.2020,,10/14/2020
TSLA,B,0.01,463.20,4.63,14.10.2020,S,0.01,433.00,4.33,05.11.2020,,10/14/2020
TSLA,B,0.975,422.99,412.42,20.10.2020,S,0.975,433.00,422.17,05.11.2020,,10/20/2020
TSLA,B,0.2,642.2,128.44,08.12.2020,S,0.2,667.5,133.49,29.12.2020,,12/8/2020
TSLA,B,0.3,671.93,201.58,18.12.2020,S,0.3,838.3,251.47,28.01.2021,,12/18/2020
TSLA,B,0.18,675.56,121.6,18.12.2020,S,0.18,845,152.09,28.01.2021,,12/18/2020
TSLA,B,0.1,875.2,87.52,27.01.2021,S,0.1,825.9,82.58,15.10.2021,,1/27/2021
TSLA,B,0.2,632.7,126.54,23.02.2021,S,0.2,638.8,127.75,24.03.2021,,2/23/2021
TSLA,B,0.16,736.81,117.89,26.04.2021,S,0.16,710.81,113.72,10.08.2021,,4/26/2021
TSLA,B,0.025,664.4,16.61,20.05.2022,S,0.025,710,17.74,26.05.2022,,5/20/2022
U,B,0.01,164,1.64,08.12.2020,S,0.01,160,1.59,08.11.2021,,12/8/2020
U,B,0.09,98.3,8.85,23.10.2020,S,0.09,105.58,9.5,29.10.2020,,10/23/2020
U,B,0.01,98.3,0.98,23.10.2020,S,0.01,164,1.63,08.12.2021,,10/23/2020
U,B,1.1,100.12,110.13,27.10.2020,S,1.1,105.58,116.13,29.10.2020,,10/27/2020
U,B,1.1,98.32,108.15,02.11.2020,S,1.1,105.05,115.55,04.11.2020,,11/2/2020
U,B,1,155,155,28.01.2021,S,1,161.25,161.24,08.11.2021,,1/28/2021
VTRS,B,0.1,17.7,1.77,20.11.2020,S,0.1,17.79,1.78,08.12.2020,,11/20/2020
XPEV,B,0.05,26.4,1.32,04.11.2020,S,0.05,44.48,2.21,30.06.2021,,11/4/2020
XPEV,B,4,27.26,109.04,04.11.2020,S,4,33.75,134.99,09.11.2020,,11/4/2020
XPEV,B,10,30.94,309.4,05.11.2020,S,10,32.25,322.49,21.04.2021,,11/5/2020
XPEV,B,5,30.94,154.7,05.11.2020,S,5,31.03,155.14,20.04.2021,,11/5/2020
XPEV,B,10,31.48,314.8,05.11.2020,S,10,39.14,391.4,16.07.2021,,11/5/2020
XPEV,B,2,37,74,06.11.2020,S,2,46.25,92.49,17.11.2020,,11/6/2020
XPEV,B,4,34.5,138,06.11.2020,S,4,72.26,289.02,23.11.2020,,11/6/2020
XPEV,B,3,32.75,98.25,10.11.2020,S,3,45.76,137.27,12.11.2020,,11/10/2020
XPEV,B,1.8,37.37,67.27,12.11.2020,S,1.8,43.86,78.94,16.11.2020,,11/12/2020
XPEV,B,2.8,46.22,129.42,12.11.2020,S,2.8,52.21,146.18,20.11.2020,,11/12/2020
XPEV,B,3,46,138,12.11.2020,S,3,56.13,168.38,20.11.2020,,11/12/2020
XPEV,B,1,55,55,01.12.2020,S,1,55.05,55.04,30.11.2021,,12/1/2020
XPEV,B,2,45.5,91,14.12.2020,S,2,47.2,94.39,18.12.2020,,12/14/2020
XPEV,B,2,41.75,83.5,24.12.2020,S,2,43.34,86.68,22.07.2021,,12/24/2020
