funcname,starttime,endtime,executiontime
load_data,1720872191.9496412,1720872192.000333,0.050691843032836914
tickers,1720872192.0462787,1720872192.051309,0.005030393600463867
tickers,1720872192.0553348,1720872192.062819,0.0074841976165771484
tickers,1720872192.0658202,1720872192.067838,0.0020177364349365234
load_data,1720872192.4739637,1720872192.4862518,0.012288093566894531
tickers,1720872192.5387616,1720872192.541443,0.0026814937591552734
tickers,1720872192.5424407,1720872192.5444458,0.0020051002502441406
tickers,1720872192.5510583,1720872192.5529594,0.0019011497497558594
yahoo_stock_last_price,1720872192.5878594,1720872195.7881064,3.200247049331665
yahoo_stock_last_price,1720872192.1378176,1720872195.7903275,3.652509927749634
yahoo_data,1720872192.1378176,1720872195.7931423,3.655324697494507
yahoo_data,1720872192.5878594,1720872195.7931423,3.2052829265594482
profit_per_transaction,1720872195.8001442,1720872195.8001442,0.0
profit_per_transaction,1720872195.799242,1720872195.8001442,0.0009021759033203125
profit_per_transaction,1720872195.802228,1720872195.802228,0.0
profit_per_transaction,1720872195.802228,1720872195.802228,0.0
profit_per_transaction,1720872195.8033392,1720872195.8033392,0.0
profit_per_transaction,1720872195.8033392,1720872195.8033392,0.0
profit_per_transaction,1720872195.8042088,1720872195.8042088,0.0
profit_per_transaction,1720872195.8042088,1720872195.8042088,0.0
profit_per_transaction,1720872195.8051798,1720872195.8051798,0.0
profit_per_transaction,1720872195.8051798,1720872195.8061829,0.0010030269622802734
profit_per_transaction,1720872195.8061829,1720872195.8066921,0.0005092620849609375
profit_per_transaction,1720872195.8066921,1720872195.8066921,0.0
profit_per_transaction,1720872195.8078544,1720872195.8078544,0.0
profit_per_transaction,1720872195.8078544,1720872195.8078544,0.0
profit_per_transaction,1720872195.808704,1720872195.808704,0.0
profit_per_transaction,1720872195.809707,1720872195.809707,0.0
profit_per_transaction,1720872195.809707,1720872195.809707,0.0
profit_per_transaction,1720872195.8107948,1720872195.8107948,0.0
profit_per_transaction,1720872195.8117046,1720872195.8117046,0.0
profit_per_transaction,1720872195.8117046,1720872195.8117046,0.0
profit_per_transaction,1720872195.8127532,1720872195.8127532,0.0
profit_per_transaction,1720872195.813704,1720872195.813704,0.0
profit_per_transaction,1720872195.813704,1720872195.813704,0.0
profit_per_transaction,1720872195.8147047,1720872195.8147047,0.0
profit_per_transaction,1720872195.8147047,1720872195.8147047,0.0
profit_per_transaction,1720872195.8157058,1720872195.8157058,0.0
profit_per_transaction,1720872195.8173478,1720872195.8173478,0.0
profit_per_transaction,1720872195.819705,1720872195.819705,0.0
profit_per_transaction,1720872195.819705,1720872195.819705,0.0
profit_per_transaction,1720872195.820704,1720872195.820704,0.0
profit_per_transaction,1720872195.820704,1720872195.820704,0.0
profit_per_transaction,1720872195.8220515,1720872195.8220515,0.0
profit_per_transaction,1720872195.8227046,1720872195.8227046,0.0
profit_per_transaction,1720872195.8247066,1720872195.8247066,0.0
profit_per_transaction,1720872195.8238146,1720872195.8238146,0.0
profit_per_transaction,1720872195.8257034,1720872195.8257034,0.0
profit_per_transaction,1720872195.8267052,1720872195.8267052,0.0
profit_per_transaction,1720872195.828705,1720872195.828705,0.0
profit_per_transaction,1720872195.828705,1720872195.828705,0.0
profit_per_transaction,1720872195.8297062,1720872195.8297062,0.0
profit_per_transaction,1720872195.8297062,1720872195.8297062,0.0
profit_per_transaction,1720872195.8307362,1720872195.8307362,0.0
profit_per_transaction,1720872195.831705,1720872195.831705,0.0
profit_per_transaction,1720872195.831705,1720872195.831705,0.0
profit_per_transaction,1720872195.8327038,1720872195.8327038,0.0
profit_per_transaction,1720872195.8327038,1720872195.8327038,0.0
profit_per_transaction,1720872195.833779,1720872195.833779,0.0
profit_per_transaction,1720872195.8347058,1720872195.8347058,0.0
profit_per_transaction,1720872195.8362494,1720872195.8362494,0.0
profit_per_transaction,1720872195.8347058,1720872195.8347058,0.0
profit_per_transaction,1720872195.837302,1720872195.837302,0.0
profit_per_transaction,1720872195.8377054,1720872195.8377054,0.0
profit_per_transaction,1720872195.8377054,1720872195.8377054,0.0
profit_per_transaction,1720872195.8395693,1720872195.8395693,0.0
profit_per_transaction,1720872195.8407023,1720872195.8407023,0.0
